UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure,Failure_Probability,Risk Score,Decision,Expected Cost,Savings
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,0,0.0036065234864168546,0.36065234864168544,NO ACTION,18.032617432084272,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,0.0019069470330368998,0.19069470330368998,NO ACTION,9.534735165184498,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,0.013947672143273332,1.394767214327333,NO ACTION,69.73836071636666,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,0.00045363233723095923,0.045363233723095926,NO ACTION,2.268161686154796,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,0.0003670283240391293,0.03670283240391293,NO ACTION,1.8351416201956463,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,0,0.0007767001482141639,0.07767001482141639,NO ACTION,3.8835007410708196,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,0.00420720616141259,0.420720616141259,NO ACTION,21.03603080706295,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,0.001663172482787067,0.1663172482787067,NO ACTION,8.315862413935335,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,0,0.00037649463545074764,0.037649463545074764,NO ACTION,1.8824731772537382,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,0,0.00069333076864449,0.069333076864449,NO ACTION,3.46665384322245,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,0.00037708346791904277,0.037708346791904275,NO ACTION,1.8854173395952138,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,0,0.0017797507922757002,0.17797507922757003,NO ACTION,8.898753961378501,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,0,0.004699847636652101,0.4699847636652101,NO ACTION,23.499238183260506,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,0,0.0013568020514581316,0.13568020514581317,NO ACTION,6.784010257290658,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,0.0022946753148326607,0.22946753148326607,NO ACTION,11.473376574163304,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,0.022596837862859136,2.2596837862859136,NO ACTION,112.98418931429568,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,0,0.0010395067622954697,0.10395067622954697,NO ACTION,5.197533811477348,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,0,0.0027531512480902334,0.2753151248090233,NO ACTION,13.765756240451166,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,0,0.01082986628532145,1.082986628532145,NO ACTION,54.14933142660725,0
